,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
0,age,adult,0,0.9984534,adult,mac_hybrid_200_2048_1e-05
1,hair_type,curly,1,0.7777662,curly,mac_hybrid_200_2048_1e-05
2,hair_color,black,0,0.99941707,black,mac_hybrid_200_2048_1e-05
3,eye_color,black,1,0.7831451,black,mac_hybrid_200_2048_1e-05
4,monk_scale,scale 5,5,0.47888717,scale 5,mac_hybrid_200_2048_1e-05
5,fitz_type,type iv,3,0.99339193,type iv,mac_hybrid_200_2048_1e-05
6,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
7,age,adult,0,0.99876034,adult,mac_hybrid_200_2048_1e-05
8,hair_type,curly,1,0.6183115,curly,mac_hybrid_200_2048_1e-05
9,hair_color,black,0,0.98883504,black,mac_hybrid_200_2048_1e-05
10,eye_color,black,1,0.7115991,black,mac_hybrid_200_2048_1e-05
11,monk_scale,scale 5,5,0.85091096,scale 5,mac_hybrid_200_2048_1e-05
12,fitz_type,type iv,3,0.9277885,type iv,mac_hybrid_200_2048_1e-05
13,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
14,age,adult,0,0.9269983,adult,mac_hybrid_200_2048_1e-05
15,hair_type,curly,1,0.14110816,wavy,mac_hybrid_200_2048_1e-05
16,hair_color,black,0,0.99573815,black,mac_hybrid_200_2048_1e-05
17,eye_color,black,1,0.99363023,black,mac_hybrid_200_2048_1e-05
18,monk_scale,scale 5,5,0.14438991,scale 6,mac_hybrid_200_2048_1e-05
19,fitz_type,type iv,3,0.04915025,type v,mac_hybrid_200_2048_1e-05
20,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
21,age,adult,0,0.8931876,adult,mac_hybrid_200_2048_1e-05
22,hair_type,curly,1,0.1793079,straight,mac_hybrid_200_2048_1e-05
23,hair_color,black,0,0.9997062,black,mac_hybrid_200_2048_1e-05
24,eye_color,black,1,0.27922767,green,mac_hybrid_200_2048_1e-05
25,monk_scale,scale 5,5,0.0075525213,scale 7,mac_hybrid_200_2048_1e-05
26,fitz_type,type iv,3,0.25067753,type v,mac_hybrid_200_2048_1e-05
27,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
28,age,adult,0,0.99972695,adult,mac_hybrid_200_2048_1e-05
29,hair_type,curly,1,0.1725999,straight,mac_hybrid_200_2048_1e-05
30,hair_color,black,0,0.9811772,black,mac_hybrid_200_2048_1e-05
31,eye_color,black,1,0.44585738,green,mac_hybrid_200_2048_1e-05
32,monk_scale,scale 5,5,0.06508326,scale 7,mac_hybrid_200_2048_1e-05
33,fitz_type,type iv,3,0.5996782,type iv,mac_hybrid_200_2048_1e-05
34,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
35,age,adult,0,0.99954295,adult,mac_hybrid_200_2048_1e-05
36,hair_type,curly,1,0.11721586,straight,mac_hybrid_200_2048_1e-05
37,hair_color,black,0,0.9757101,black,mac_hybrid_200_2048_1e-05
38,eye_color,black,1,0.88762194,black,mac_hybrid_200_2048_1e-05
39,monk_scale,scale 5,5,0.14887522,scale 7,mac_hybrid_200_2048_1e-05
40,fitz_type,type iv,3,0.16659196,type v,mac_hybrid_200_2048_1e-05
41,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
42,age,adult,0,0.99996245,adult,mac_hybrid_200_2048_1e-05
43,hair_type,curly,1,0.38027215,coily,mac_hybrid_200_2048_1e-05
44,hair_color,black,0,0.9987049,black,mac_hybrid_200_2048_1e-05
45,eye_color,black,1,0.98873234,black,mac_hybrid_200_2048_1e-05
46,monk_scale,scale 5,5,0.3354616,scale 6,mac_hybrid_200_2048_1e-05
47,fitz_type,type iv,3,0.86822534,type iv,mac_hybrid_200_2048_1e-05
48,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
49,age,adult,0,0.99645054,adult,mac_hybrid_200_2048_1e-05
50,hair_type,curly,1,0.00639773,wavy,mac_hybrid_200_2048_1e-05
51,hair_color,black,0,0.999126,black,mac_hybrid_200_2048_1e-05
52,eye_color,black,1,0.87191457,black,mac_hybrid_200_2048_1e-05
53,monk_scale,scale 5,5,0.73693335,scale 5,mac_hybrid_200_2048_1e-05
54,fitz_type,type iv,3,0.32918853,type v,mac_hybrid_200_2048_1e-05
55,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
56,age,adult,0,0.9992792,adult,mac_hybrid_200_2048_1e-05
57,hair_type,curly,1,0.016749972,wavy,mac_hybrid_200_2048_1e-05
58,hair_color,black,0,0.9989818,black,mac_hybrid_200_2048_1e-05
59,eye_color,black,1,0.8609818,black,mac_hybrid_200_2048_1e-05
60,monk_scale,scale 5,5,0.3040347,scale 6,mac_hybrid_200_2048_1e-05
61,fitz_type,type iv,3,0.29183385,type v,mac_hybrid_200_2048_1e-05
62,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
63,age,adult,0,0.9973642,adult,mac_hybrid_200_2048_1e-05
64,hair_type,curly,1,0.13629393,wavy,mac_hybrid_200_2048_1e-05
65,hair_color,black,0,0.9765015,black,mac_hybrid_200_2048_1e-05
66,eye_color,black,1,0.6738859,black,mac_hybrid_200_2048_1e-05
67,monk_scale,scale 5,5,0.706152,scale 5,mac_hybrid_200_2048_1e-05
68,fitz_type,type iv,3,0.88147587,type iv,mac_hybrid_200_2048_1e-05
69,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
70,age,adult,0,0.9925235,adult,mac_hybrid_200_2048_1e-05
71,hair_type,curly,1,0.87810904,curly,mac_hybrid_200_2048_1e-05
72,hair_color,black,0,0.9990761,black,mac_hybrid_200_2048_1e-05
73,eye_color,black,1,0.93006885,black,mac_hybrid_200_2048_1e-05
74,monk_scale,scale 5,5,0.016002493,scale 6,mac_hybrid_200_2048_1e-05
75,fitz_type,type iv,3,0.67949116,type iv,mac_hybrid_200_2048_1e-05
76,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
77,age,adult,0,0.99949443,adult,mac_hybrid_200_2048_1e-05
78,hair_type,curly,1,0.42157906,coily,mac_hybrid_200_2048_1e-05
79,hair_color,black,0,0.99987876,black,mac_hybrid_200_2048_1e-05
80,eye_color,black,1,0.9740751,black,mac_hybrid_200_2048_1e-05
81,monk_scale,scale 5,5,0.37885398,scale 6,mac_hybrid_200_2048_1e-05
82,fitz_type,type iv,3,0.80738056,type iv,mac_hybrid_200_2048_1e-05
83,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
84,age,adult,0,0.99538124,adult,mac_hybrid_200_2048_1e-05
85,hair_type,curly,1,0.8307932,curly,mac_hybrid_200_2048_1e-05
86,hair_color,black,0,0.9990434,black,mac_hybrid_200_2048_1e-05
87,eye_color,black,1,0.956014,black,mac_hybrid_200_2048_1e-05
88,monk_scale,scale 5,5,0.13496076,scale 6,mac_hybrid_200_2048_1e-05
89,fitz_type,type iv,3,0.22104867,type v,mac_hybrid_200_2048_1e-05
90,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
91,age,adult,0,0.9993223,adult,mac_hybrid_200_2048_1e-05
92,hair_type,curly,1,0.22132038,wavy,mac_hybrid_200_2048_1e-05
93,hair_color,black,0,0.99934846,black,mac_hybrid_200_2048_1e-05
94,eye_color,black,1,0.9766432,black,mac_hybrid_200_2048_1e-05
95,monk_scale,scale 5,5,0.8645528,scale 5,mac_hybrid_200_2048_1e-05
96,fitz_type,type iv,3,0.9951101,type iv,mac_hybrid_200_2048_1e-05
97,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
98,age,adult,0,0.9956702,adult,mac_hybrid_200_2048_1e-05
99,hair_type,curly,1,0.019973744,straight,mac_hybrid_200_2048_1e-05
100,hair_color,black,0,0.9994299,black,mac_hybrid_200_2048_1e-05
101,eye_color,black,1,0.99547666,black,mac_hybrid_200_2048_1e-05
102,monk_scale,scale 5,5,0.5171786,scale 5,mac_hybrid_200_2048_1e-05
103,fitz_type,type iv,3,0.9484818,type iv,mac_hybrid_200_2048_1e-05
104,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
105,age,adult,0,0.99771595,adult,mac_hybrid_200_2048_1e-05
106,hair_type,curly,1,0.053754453,straight,mac_hybrid_200_2048_1e-05
107,hair_color,black,0,0.97212166,black,mac_hybrid_200_2048_1e-05
108,eye_color,black,1,0.96526927,black,mac_hybrid_200_2048_1e-05
109,monk_scale,scale 5,5,0.7759779,scale 5,mac_hybrid_200_2048_1e-05
110,fitz_type,type iv,3,0.9753831,type iv,mac_hybrid_200_2048_1e-05
111,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
112,age,adult,0,0.7471195,adult,mac_hybrid_200_2048_1e-05
113,hair_type,curly,1,0.9230388,curly,mac_hybrid_200_2048_1e-05
114,hair_color,black,0,0.99575645,black,mac_hybrid_200_2048_1e-05
115,eye_color,black,1,0.9866583,black,mac_hybrid_200_2048_1e-05
116,monk_scale,scale 5,5,0.21571508,scale 6,mac_hybrid_200_2048_1e-05
117,fitz_type,type iv,3,0.6409172,type iv,mac_hybrid_200_2048_1e-05
118,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
119,age,adult,0,0.9992255,adult,mac_hybrid_200_2048_1e-05
120,hair_type,curly,1,0.6932823,curly,mac_hybrid_200_2048_1e-05
121,hair_color,black,0,0.9998547,black,mac_hybrid_200_2048_1e-05
122,eye_color,black,1,0.86687523,black,mac_hybrid_200_2048_1e-05
123,monk_scale,scale 5,5,0.74531186,scale 5,mac_hybrid_200_2048_1e-05
124,fitz_type,type iv,3,0.74333435,type iv,mac_hybrid_200_2048_1e-05
125,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
126,age,adult,0,0.75825465,adult,mac_hybrid_200_2048_1e-05
127,hair_type,curly,1,0.10453364,wavy,mac_hybrid_200_2048_1e-05
128,hair_color,black,0,0.99337137,black,mac_hybrid_200_2048_1e-05
129,eye_color,black,1,0.8906664,black,mac_hybrid_200_2048_1e-05
130,monk_scale,scale 5,5,0.9439895,scale 5,mac_hybrid_200_2048_1e-05
131,fitz_type,type iv,3,0.9448281,type iv,mac_hybrid_200_2048_1e-05
132,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
133,age,adult,0,0.98840094,adult,mac_hybrid_200_2048_1e-05
134,hair_type,curly,1,0.11435358,wavy,mac_hybrid_200_2048_1e-05
135,hair_color,black,0,0.9921061,black,mac_hybrid_200_2048_1e-05
136,eye_color,black,1,0.3694959,blue,mac_hybrid_200_2048_1e-05
137,monk_scale,scale 5,5,0.14187334,scale 7,mac_hybrid_200_2048_1e-05
138,fitz_type,type iv,3,0.96292514,type iv,mac_hybrid_200_2048_1e-05
139,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
140,age,adult,0,0.999793,adult,mac_hybrid_200_2048_1e-05
141,hair_type,curly,1,0.04270369,wavy,mac_hybrid_200_2048_1e-05
142,hair_color,black,0,0.9991605,black,mac_hybrid_200_2048_1e-05
143,eye_color,black,1,0.5794878,black,mac_hybrid_200_2048_1e-05
144,monk_scale,scale 5,5,0.78186715,scale 5,mac_hybrid_200_2048_1e-05
145,fitz_type,type iv,3,0.9602553,type iv,mac_hybrid_200_2048_1e-05
146,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
147,age,adult,0,0.9998802,adult,mac_hybrid_200_2048_1e-05
148,hair_type,curly,1,0.45434678,curly,mac_hybrid_200_2048_1e-05
149,hair_color,black,0,0.99417394,black,mac_hybrid_200_2048_1e-05
150,eye_color,black,1,0.91563445,black,mac_hybrid_200_2048_1e-05
151,monk_scale,scale 5,5,0.8842178,scale 5,mac_hybrid_200_2048_1e-05
152,fitz_type,type iv,3,0.13689393,type v,mac_hybrid_200_2048_1e-05
153,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
154,age,adult,0,0.9991441,adult,mac_hybrid_200_2048_1e-05
155,hair_type,curly,1,0.10627516,straight,mac_hybrid_200_2048_1e-05
156,hair_color,black,0,0.98026246,black,mac_hybrid_200_2048_1e-05
157,eye_color,black,1,0.37568387,brown,mac_hybrid_200_2048_1e-05
158,monk_scale,scale 5,5,0.48258582,scale 5,mac_hybrid_200_2048_1e-05
159,fitz_type,type iv,3,0.95761544,type iv,mac_hybrid_200_2048_1e-05
160,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
161,age,adult,0,0.99996936,adult,mac_hybrid_200_2048_1e-05
162,hair_type,curly,1,0.3135724,straight,mac_hybrid_200_2048_1e-05
163,hair_color,black,0,0.9095872,black,mac_hybrid_200_2048_1e-05
164,eye_color,black,1,0.7987544,black,mac_hybrid_200_2048_1e-05
165,monk_scale,scale 5,5,0.262053,scale 6,mac_hybrid_200_2048_1e-05
166,fitz_type,type iv,3,0.7093812,type iv,mac_hybrid_200_2048_1e-05
167,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
168,age,adult,0,0.99993074,adult,mac_hybrid_200_2048_1e-05
169,hair_type,curly,1,0.7073012,curly,mac_hybrid_200_2048_1e-05
170,hair_color,black,0,0.99975234,black,mac_hybrid_200_2048_1e-05
171,eye_color,black,1,0.90784,black,mac_hybrid_200_2048_1e-05
172,monk_scale,scale 5,5,0.07938358,scale 7,mac_hybrid_200_2048_1e-05
173,fitz_type,type iv,3,0.41490933,type v,mac_hybrid_200_2048_1e-05
174,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
175,age,adult,0,0.9995814,adult,mac_hybrid_200_2048_1e-05
176,hair_type,curly,1,0.8128913,curly,mac_hybrid_200_2048_1e-05
177,hair_color,black,0,0.99697506,black,mac_hybrid_200_2048_1e-05
178,eye_color,black,1,0.9766822,black,mac_hybrid_200_2048_1e-05
179,monk_scale,scale 5,5,0.2345646,scale 7,mac_hybrid_200_2048_1e-05
180,fitz_type,type iv,3,0.92275846,type iv,mac_hybrid_200_2048_1e-05
181,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
182,age,adult,0,0.9998944,adult,mac_hybrid_200_2048_1e-05
183,hair_type,curly,1,0.72142756,curly,mac_hybrid_200_2048_1e-05
184,hair_color,black,0,0.9994081,black,mac_hybrid_200_2048_1e-05
185,eye_color,black,1,0.4633082,blue,mac_hybrid_200_2048_1e-05
186,monk_scale,scale 5,5,0.050570644,scale 6,mac_hybrid_200_2048_1e-05
187,fitz_type,type iv,3,0.8436005,type iv,mac_hybrid_200_2048_1e-05
188,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
189,age,adult,0,0.9984995,adult,mac_hybrid_200_2048_1e-05
190,hair_type,curly,1,0.41671827,curly,mac_hybrid_200_2048_1e-05
191,hair_color,black,0,0.97372514,black,mac_hybrid_200_2048_1e-05
192,eye_color,black,1,0.6081488,black,mac_hybrid_200_2048_1e-05
193,monk_scale,scale 5,5,0.1201717,scale 6,mac_hybrid_200_2048_1e-05
194,fitz_type,type iv,3,0.84986156,type iv,mac_hybrid_200_2048_1e-05
195,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
196,age,adult,0,0.9986701,adult,mac_hybrid_200_2048_1e-05
197,hair_type,curly,1,0.25697383,straight,mac_hybrid_200_2048_1e-05
198,hair_color,black,0,0.99982613,black,mac_hybrid_200_2048_1e-05
199,eye_color,black,1,0.897742,black,mac_hybrid_200_2048_1e-05
200,monk_scale,scale 5,5,0.24704038,scale 7,mac_hybrid_200_2048_1e-05
201,fitz_type,type iv,3,0.971038,type iv,mac_hybrid_200_2048_1e-05
202,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
203,age,adult,0,0.91524124,adult,mac_hybrid_200_2048_1e-05
204,hair_type,curly,1,0.3016325,curly,mac_hybrid_200_2048_1e-05
205,hair_color,black,0,0.99763143,black,mac_hybrid_200_2048_1e-05
206,eye_color,black,1,0.98746777,black,mac_hybrid_200_2048_1e-05
207,monk_scale,scale 5,5,0.25352368,scale 6,mac_hybrid_200_2048_1e-05
208,fitz_type,type iv,3,0.036057502,type v,mac_hybrid_200_2048_1e-05
209,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
210,age,adult,0,0.98464024,adult,mac_hybrid_200_2048_1e-05
211,hair_type,curly,1,0.48956063,curly,mac_hybrid_200_2048_1e-05
212,hair_color,black,0,0.9613299,black,mac_hybrid_200_2048_1e-05
213,eye_color,black,1,0.82282233,black,mac_hybrid_200_2048_1e-05
214,monk_scale,scale 5,5,0.3219521,scale 6,mac_hybrid_200_2048_1e-05
215,fitz_type,type iv,3,0.038757812,type v,mac_hybrid_200_2048_1e-05
216,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
217,age,adult,0,0.99988747,adult,mac_hybrid_200_2048_1e-05
218,hair_type,curly,1,0.93467593,curly,mac_hybrid_200_2048_1e-05
219,hair_color,black,0,0.9951015,black,mac_hybrid_200_2048_1e-05
220,eye_color,black,1,0.89177525,black,mac_hybrid_200_2048_1e-05
221,monk_scale,scale 5,5,0.78339976,scale 5,mac_hybrid_200_2048_1e-05
222,fitz_type,type iv,3,0.97597843,type iv,mac_hybrid_200_2048_1e-05
223,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
224,age,adult,0,0.9999641,adult,mac_hybrid_200_2048_1e-05
225,hair_type,curly,1,0.8321077,curly,mac_hybrid_200_2048_1e-05
226,hair_color,black,0,0.99943095,black,mac_hybrid_200_2048_1e-05
227,eye_color,black,1,0.6096817,black,mac_hybrid_200_2048_1e-05
228,monk_scale,scale 5,5,0.015701406,scale 8,mac_hybrid_200_2048_1e-05
229,fitz_type,type iv,3,0.61479765,type iv,mac_hybrid_200_2048_1e-05
230,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
